,rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
0,20190401003283,11011,2018,00138242,003620,CFS,연결재무제표,BS,재무상태표,유동자산,제 57 기,2018.12.31 현재,"571,070,203,349",제 56 기,2017.12.31 현재,"655,191,219,796",제 55 기,2016.12.31 현재,"681,796,355,349",1,KRW
1,20190401003283,11011,2018,00138242,003620,CFS,연결재무제표,BS,재무상태표,비유동자산,제 57 기,2018.12.31 현재,"1,634,571,862,535",제 56 기,2017.12.31 현재,"1,592,827,653,736",제 55 기,2016.12.31 현재,"1,481,626,824,370",3,KRW
2,20190401003283,11011,2018,00138242,003620,CFS,연결재무제표,BS,재무상태표,유동부채,제 57 기,2018.12.31 현재,"995,119,973,035",제 56 기,2017.12.31 현재,"1,006,595,519,995",제 55 기,2016.12.31 현재,"945,059,630,316",7,KRW
3,20190401003283,11011,2018,00138242,003620,CFS,연결재무제표,BS,재무상태표,비유동부채,제 57 기,2018.12.31 현재,"517,233,673,218",제 56 기,2017.12.31 현재,"466,268,429,097",제 55 기,2016.12.31 현재,"405,669,623,189",9,KRW
4,20190401003283,11011,2018,00138242,003620,CFS,연결재무제표,BS,재무상태표,부채총계,제 57 기,2018.12.31 현재,"1,512,353,646,253",제 56 기,2017.12.31 현재,"1,472,863,949,092",제 55 기,2016.12.31 현재,"1,350,729,253,505",11,KRW
5,20190401003283,11011,2018,00138242,003620,CFS,연결재무제표,BS,재무상태표,자본금,제 57 기,2018.12.31 현재,"689,746,980,000",제 56 기,2017.12.31 현재,"689,746,980,000",제 55 기,2016.12.31 현재,"686,100,480,000",13,KRW
6,20190401003283,11011,2018,00138242,003620,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 57 기,2018.12.31 현재,"-85,610,655,544",제 56 기,2017.12.31 현재,"-48,887,556,465",제 55 기,2016.12.31 현재,"-3,799,100,846",17,KRW
7,20190401003283,11011,2018,00138242,003620,CFS,연결재무제표,IS,손익계산서,매출액,제 57 기,2018.01.01 ~ 2018.12.31,"3,704,793,546,043",제 56 기,2017.01.01 ~ 2017.12.31,"3,494,637,644,343",제 55 기,2016.01.01 ~ 2016.12.31,"3,628,536,546,385",23,KRW
8,20190401003283,11011,2018,00138242,003620,CFS,연결재무제표,IS,손익계산서,영업이익,제 57 기,2018.01.01 ~ 2018.12.31,"-64,175,997,221",제 56 기,2017.01.01 ~ 2017.12.31,"-65,275,806,226",제 55 기,2016.01.01 ~ 2016.12.31,"27,994,069,559",25,KRW
9,20190401003283,11011,2018,00138242,003620,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 57 기,2018.01.01 ~ 2018.12.31,"-61,797,519,663",제 56 기,2017.01.01 ~ 2017.12.31,"-65,784,023,689",제 55 기,2016.01.01 ~ 2016.12.31,"58,133,238,826",27,KRW
10,20190401003283,11011,2018,00138242,003620,CFS,연결재무제표,IS,손익계산서,당기순이익,제 57 기,2018.01.01 ~ 2018.12.31,"-61,838,227,415",제 56 기,2017.01.01 ~ 2017.12.31,"-65,821,198,497",제 55 기,2016.01.01 ~ 2016.12.31,"58,102,501,224",29,KRW
11,20190401003283,11011,2018,00138242,003620,OFS,재무제표,BS,재무상태표,유동자산,제 57 기,2018.12.31 현재,"575,683,830,866",제 56 기,2017.12.31 현재,"655,306,853,216",제 55 기,2016.12.31 현재,"679,572,861,017",2,KRW
12,20190401003283,11011,2018,00138242,003620,OFS,재무제표,BS,재무상태표,비유동자산,제 57 기,2018.12.31 현재,"1,630,379,322,688",제 56 기,2017.12.31 현재,"1,594,668,782,874",제 55 기,2016.12.31 현재,"1,491,211,314,998",4,KRW
13,20190401003283,11011,2018,00138242,003620,OFS,재무제표,BS,재무상태표,자산총계,제 57 기,2018.12.31 현재,"2,206,063,153,554",제 56 기,2017.12.31 현재,"2,249,975,636,090",제 55 기,2016.12.31 현재,"2,170,784,176,015",6,KRW
14,20190401003283,11011,2018,00138242,003620,OFS,재무제표,BS,재무상태표,유동부채,제 57 기,2018.12.31 현재,"993,613,040,009",제 56 기,2017.12.31 현재,"1,006,050,749,193",제 55 기,2016.12.31 현재,"944,944,592,566",8,KRW
15,20190401003283,11011,2018,00138242,003620,OFS,재무제표,BS,재무상태표,비유동부채,제 57 기,2018.12.31 현재,"517,173,701,182",제 56 기,2017.12.31 현재,"466,268,429,097",제 55 기,2016.12.31 현재,"405,669,623,189",10,KRW
16,20190401003283,11011,2018,00138242,003620,OFS,재무제표,BS,재무상태표,부채총계,제 57 기,2018.12.31 현재,"1,510,786,741,191",제 56 기,2017.12.31 현재,"1,472,319,178,290",제 55 기,2016.12.31 현재,"1,350,614,215,755",12,KRW
17,20190401003283,11011,2018,00138242,003620,OFS,재무제표,BS,재무상태표,자본금,제 57 기,2018.12.31 현재,"689,746,980,000",제 56 기,2017.12.31 현재,"689,746,980,000",제 55 기,2016.12.31 현재,"686,100,480,000",15,KRW
18,20190401003283,11011,2018,00138242,003620,OFS,재무제표,BS,재무상태표,이익잉여금,제 57 기,2018.12.31 현재,"-82,483,045,437",제 56 기,2017.12.31 현재,"-45,232,441,632",제 55 기,2016.12.31 현재,"4,965,820,653",19,KRW
19,20190401003283,11011,2018,00138242,003620,OFS,재무제표,IS,손익계산서,매출액,제 57 기,2018.01.01 ~ 2018.12.31,"3,705,902,889,354",제 56 기,2017.01.01 ~ 2017.12.31,"3,489,882,082,764",제 55 기,2016.01.01 ~ 2016.12.31,"3,626,340,467,068",24,KRW
20,20190401003283,11011,2018,00138242,003620,OFS,재무제표,IS,손익계산서,영업이익,제 57 기,2018.01.01 ~ 2018.12.31,"-61,924,190,704",제 56 기,2017.01.01 ~ 2017.12.31,"-64,246,391,747",제 55 기,2016.01.01 ~ 2016.12.31,"30,514,683,694",26,KRW
21,20190401003283,11011,2018,00138242,003620,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 57 기,2018.01.01 ~ 2018.12.31,"-62,442,540,455",제 56 기,2017.01.01 ~ 2017.12.31,"-70,944,800,917",제 55 기,2016.01.01 ~ 2016.12.31,"56,769,807,819",28,KRW
22,20190401003283,11011,2018,00138242,003620,OFS,재무제표,IS,손익계산서,당기순이익,제 57 기,2018.01.01 ~ 2018.12.31,"-62,442,540,455",제 56 기,2017.01.01 ~ 2017.12.31,"-70,944,800,917",제 55 기,2016.01.01 ~ 2016.12.31,"56,769,807,819",30,KRW
0,20200330002307,11011,2019,00138242,003620,CFS,연결재무제표,BS,재무상태표,유동자산,제 58 기,2019.12.31 현재,"497,539,765,451",제 57 기,2018.12.31 현재,"571,070,203,349",제 56 기,2017.12.31 현재,"655,191,219,796",1,KRW
1,20200330002307,11011,2019,00138242,003620,CFS,연결재무제표,BS,재무상태표,비유동자산,제 58 기,2019.12.31 현재,"1,521,667,377,266",제 57 기,2018.12.31 현재,"1,634,571,862,535",제 56 기,2017.12.31 현재,"1,592,827,653,736",3,KRW
2,20200330002307,11011,2019,00138242,003620,CFS,연결재무제표,BS,재무상태표,유동부채,제 58 기,2019.12.31 현재,"987,084,389,948",제 57 기,2018.12.31 현재,"995,119,973,035",제 56 기,2017.12.31 현재,"1,006,595,519,995",7,KRW
3,20200330002307,11011,2019,00138242,003620,CFS,연결재무제표,BS,재무상태표,비유동부채,제 58 기,2019.12.31 현재,"628,999,195,284",제 57 기,2018.12.31 현재,"517,233,673,218",제 56 기,2017.12.31 현재,"466,268,429,097",9,KRW
4,20200330002307,11011,2019,00138242,003620,CFS,연결재무제표,BS,재무상태표,부채총계,제 58 기,2019.12.31 현재,"1,616,083,585,232",제 57 기,2018.12.31 현재,"1,512,353,646,253",제 56 기,2017.12.31 현재,"1,472,863,949,092",11,KRW
5,20200330002307,11011,2019,00138242,003620,CFS,연결재무제표,BS,재무상태표,자본금,제 58 기,2019.12.31 현재,"749,200,010,000",제 57 기,2018.12.31 현재,"689,746,980,000",제 56 기,2017.12.31 현재,"689,746,980,000",13,KRW
6,20200330002307,11011,2019,00138242,003620,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 58 기,2019.12.31 현재,"-425,348,668,260",제 57 기,2018.12.31 현재,"-85,610,655,544",제 56 기,2017.12.31 현재,"-48,887,556,465",17,KRW
7,20200330002307,11011,2019,00138242,003620,CFS,연결재무제표,IS,손익계산서,매출액,제 58 기,2019.01.01 ~ 2019.12.31,"3,623,882,266,268",제 57 기,2018.01.01 ~ 2018.12.31,"3,704,793,546,043",제 56 기,2017.01.01 ~ 2017.12.31,"3,494,637,644,343",23,KRW
8,20200330002307,11011,2019,00138242,003620,CFS,연결재무제표,IS,손익계산서,영업이익,제 58 기,2019.01.01 ~ 2019.12.31,"-281,905,360,065",제 57 기,2018.01.01 ~ 2018.12.31,"-64,175,997,221",제 56 기,2017.01.01 ~ 2017.12.31,"-65,275,806,226",25,KRW
9,20200330002307,11011,2019,00138242,003620,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 58 기,2019.01.01 ~ 2019.12.31,"-341,325,006,430",제 57 기,2018.01.01 ~ 2018.12.31,"-61,797,519,663",제 56 기,2017.01.01 ~ 2017.12.31,"-65,784,023,689",27,KRW
10,20200330002307,11011,2019,00138242,003620,CFS,연결재무제표,IS,손익계산서,당기순이익,제 58 기,2019.01.01 ~ 2019.12.31,"-341,364,140,265",제 57 기,2018.01.01 ~ 2018.12.31,"-61,838,227,415",제 56 기,2017.01.01 ~ 2017.12.31,"-65,821,198,497",29,KRW
11,20200330002307,11011,2019,00138242,003620,OFS,재무제표,BS,재무상태표,유동자산,제 58 기,2019.12.31 현재,"506,529,253,917",제 57 기,2018.12.31 현재,"575,683,830,866",제 56 기,2017.12.31 현재,"655,306,853,216",2,KRW
12,20200330002307,11011,2019,00138242,003620,OFS,재무제표,BS,재무상태표,비유동자산,제 58 기,2019.12.31 현재,"1,510,315,750,806",제 57 기,2018.12.31 현재,"1,630,379,322,688",제 56 기,2017.12.31 현재,"1,594,668,782,874",4,KRW
13,20200330002307,11011,2019,00138242,003620,OFS,재무제표,BS,재무상태표,자산총계,제 58 기,2019.12.31 현재,"2,016,845,004,723",제 57 기,2018.12.31 현재,"2,206,063,153,554",제 56 기,2017.12.31 현재,"2,249,975,636,090",6,KRW
14,20200330002307,11011,2019,00138242,003620,OFS,재무제표,BS,재무상태표,유동부채,제 58 기,2019.12.31 현재,"983,425,223,720",제 57 기,2018.12.31 현재,"993,613,040,009",제 56 기,2017.12.31 현재,"1,006,050,749,193",8,KRW
15,20200330002307,11011,2019,00138242,003620,OFS,재무제표,BS,재무상태표,비유동부채,제 58 기,2019.12.31 현재,"627,880,188,221",제 57 기,2018.12.31 현재,"517,173,701,182",제 56 기,2017.12.31 현재,"466,268,429,097",10,KRW
16,20200330002307,11011,2019,00138242,003620,OFS,재무제표,BS,재무상태표,부채총계,제 58 기,2019.12.31 현재,"1,611,305,411,941",제 57 기,2018.12.31 현재,"1,510,786,741,191",제 56 기,2017.12.31 현재,"1,472,319,178,290",12,KRW
17,20200330002307,11011,2019,00138242,003620,OFS,재무제표,BS,재무상태표,자본금,제 58 기,2019.12.31 현재,"749,200,010,000",제 57 기,2018.12.31 현재,"689,746,980,000",제 56 기,2017.12.31 현재,"689,746,980,000",15,KRW
18,20200330002307,11011,2019,00138242,003620,OFS,재무제표,BS,재무상태표,이익잉여금,제 58 기,2019.12.31 현재,"-421,823,237,468",제 57 기,2018.12.31 현재,"-82,483,045,437",제 56 기,2017.12.31 현재,"-45,232,441,632",19,KRW
19,20200330002307,11011,2019,00138242,003620,OFS,재무제표,IS,손익계산서,매출액,제 58 기,2019.01.01 ~ 2019.12.31,"3,626,261,374,465",제 57 기,2018.01.01 ~ 2018.12.31,"3,705,902,889,354",제 56 기,2017.01.01 ~ 2017.12.31,"3,489,882,082,764",24,KRW
20,20200330002307,11011,2019,00138242,003620,OFS,재무제표,IS,손익계산서,영업이익,제 58 기,2019.01.01 ~ 2019.12.31,"-275,199,089,245",제 57 기,2018.01.01 ~ 2018.12.31,"-61,924,190,704",제 56 기,2017.01.01 ~ 2017.12.31,"-64,246,391,747",26,KRW
21,20200330002307,11011,2019,00138242,003620,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 58 기,2019.01.01 ~ 2019.12.31,"-341,052,097,314",제 57 기,2018.01.01 ~ 2018.12.31,"-62,442,540,455",제 56 기,2017.01.01 ~ 2017.12.31,"-70,944,800,917",28,KRW
22,20200330002307,11011,2019,00138242,003620,OFS,재무제표,IS,손익계산서,당기순이익,제 58 기,2019.01.01 ~ 2019.12.31,"-341,052,097,314",제 57 기,2018.01.01 ~ 2018.12.31,"-62,442,540,455",제 56 기,2017.01.01 ~ 2017.12.31,"-70,944,800,917",30,KRW
0,20210323000883,11011,2020,00138242,003620,CFS,연결재무제표,BS,재무상태표,유동자산,제 59 기,2020.12.31 현재,"546,711,520,169",제 58 기,2019.12.31 현재,"497,539,765,451",제 57 기,2018.12.31 현재,"571,070,203,349",1,KRW
1,20210323000883,11011,2020,00138242,003620,CFS,연결재무제표,BS,재무상태표,비유동자산,제 59 기,2020.12.31 현재,"1,221,917,050,523",제 58 기,2019.12.31 현재,"1,521,667,377,266",제 57 기,2018.12.31 현재,"1,634,571,862,535",3,KRW
2,20210323000883,11011,2020,00138242,003620,CFS,연결재무제표,BS,재무상태표,유동부채,제 59 기,2020.12.31 현재,"1,328,541,636,688",제 58 기,2019.12.31 현재,"987,084,389,948",제 57 기,2018.12.31 현재,"995,119,973,035",7,KRW
3,20210323000883,11011,2020,00138242,003620,CFS,연결재무제표,BS,재무상태표,비유동부채,제 59 기,2020.12.31 현재,"528,209,049,924",제 58 기,2019.12.31 현재,"628,999,195,284",제 57 기,2018.12.31 현재,"517,233,673,218",9,KRW
4,20210323000883,11011,2020,00138242,003620,CFS,연결재무제표,BS,재무상태표,부채총계,제 59 기,2020.12.31 현재,"1,856,750,686,612",제 58 기,2019.12.31 현재,"1,616,083,585,232",제 57 기,2018.12.31 현재,"1,512,353,646,253",11,KRW
5,20210323000883,11011,2020,00138242,003620,CFS,연결재무제표,BS,재무상태표,자본금,제 59 기,2020.12.31 현재,"749,200,010,000",제 58 기,2019.12.31 현재,"749,200,010,000",제 57 기,2018.12.31 현재,"689,746,980,000",13,KRW
6,20210323000883,11011,2020,00138242,003620,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 59 기,2020.12.31 현재,"-916,311,834,124",제 58 기,2019.12.31 현재,"-425,348,668,260",제 57 기,2018.12.31 현재,"-85,610,655,544",17,KRW
7,20210323000883,11011,2020,00138242,003620,CFS,연결재무제표,IS,손익계산서,매출액,제 59 기,2020.01.01 ~ 2020.12.31,"2,950,180,719,134",제 58 기,2019.01.01 ~ 2019.12.31,"3,623,882,266,268",제 57 기,2018.01.01 ~ 2018.12.31,"3,704,793,546,043",23,KRW
8,20210323000883,11011,2020,00138242,003620,CFS,연결재무제표,IS,손익계산서,영업이익,제 59 기,2020.01.01 ~ 2020.12.31,"-449,388,656,761",제 58 기,2019.01.01 ~ 2019.12.31,"-281,905,360,065",제 57 기,2018.01.01 ~ 2018.12.31,"-64,175,997,221",25,KRW
9,20210323000883,11011,2020,00138242,003620,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 59 기,2020.01.01 ~ 2020.12.31,"-504,310,451,761",제 58 기,2019.01.01 ~ 2019.12.31,"-341,325,006,430",제 57 기,2018.01.01 ~ 2018.12.31,"-61,797,519,663",27,KRW
10,20210323000883,11011,2020,00138242,003620,CFS,연결재무제표,IS,손익계산서,당기순이익,제 59 기,2020.01.01 ~ 2020.12.31,"-504,340,966,567",제 58 기,2019.01.01 ~ 2019.12.31,"-341,364,140,265",제 57 기,2018.01.01 ~ 2018.12.31,"-61,838,227,415",29,KRW
11,20210323000883,11011,2020,00138242,003620,OFS,재무제표,BS,재무상태표,유동자산,제 59 기,2020.12.31 현재,"550,861,850,930",제 58 기,2019.12.31 현재,"506,529,253,917",제 57 기,2018.12.31 현재,"575,683,830,866",2,KRW
12,20210323000883,11011,2020,00138242,003620,OFS,재무제표,BS,재무상태표,비유동자산,제 59 기,2020.12.31 현재,"1,213,832,438,923",제 58 기,2019.12.31 현재,"1,510,315,750,806",제 57 기,2018.12.31 현재,"1,630,379,322,688",4,KRW
13,20210323000883,11011,2020,00138242,003620,OFS,재무제표,BS,재무상태표,자산총계,제 59 기,2020.12.31 현재,"1,764,694,289,853",제 58 기,2019.12.31 현재,"2,016,845,004,723",제 57 기,2018.12.31 현재,"2,206,063,153,554",6,KRW
14,20210323000883,11011,2020,00138242,003620,OFS,재무제표,BS,재무상태표,유동부채,제 59 기,2020.12.31 현재,"1,322,626,317,370",제 58 기,2019.12.31 현재,"983,425,223,720",제 57 기,2018.12.31 현재,"993,613,040,009",8,KRW
15,20210323000883,11011,2020,00138242,003620,OFS,재무제표,BS,재무상태표,비유동부채,제 59 기,2020.12.31 현재,"526,390,564,763",제 58 기,2019.12.31 현재,"627,880,188,221",제 57 기,2018.12.31 현재,"517,173,701,182",10,KRW
16,20210323000883,11011,2020,00138242,003620,OFS,재무제표,BS,재무상태표,부채총계,제 59 기,2020.12.31 현재,"1,849,016,882,133",제 58 기,2019.12.31 현재,"1,611,305,411,941",제 57 기,2018.12.31 현재,"1,510,786,741,191",12,KRW
17,20210323000883,11011,2020,00138242,003620,OFS,재무제표,BS,재무상태표,자본금,제 59 기,2020.12.31 현재,"749,200,010,000",제 58 기,2019.12.31 현재,"749,200,010,000",제 57 기,2018.12.31 현재,"689,746,980,000",15,KRW
18,20210323000883,11011,2020,00138242,003620,OFS,재무제표,BS,재무상태표,이익잉여금,제 59 기,2020.12.31 현재,"-911,685,422,530",제 58 기,2019.12.31 현재,"-421,823,237,468",제 57 기,2018.12.31 현재,"-82,483,045,437",19,KRW
19,20210323000883,11011,2020,00138242,003620,OFS,재무제표,IS,손익계산서,매출액,제 59 기,2020.01.01 ~ 2020.12.31,"2,929,789,338,247",제 58 기,2019.01.01 ~ 2019.12.31,"3,626,261,374,465",제 57 기,2018.01.01 ~ 2018.12.31,"3,705,902,889,354",24,KRW
20,20210323000883,11011,2020,00138242,003620,OFS,재무제표,IS,손익계산서,영업이익,제 59 기,2020.01.01 ~ 2020.12.31,"-446,036,350,438",제 58 기,2019.01.01 ~ 2019.12.31,"-275,199,089,245",제 57 기,2018.01.01 ~ 2018.12.31,"-61,924,190,704",26,KRW
21,20210323000883,11011,2020,00138242,003620,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 59 기,2020.01.01 ~ 2020.12.31,"-503,265,237,525",제 58 기,2019.01.01 ~ 2019.12.31,"-341,052,097,314",제 57 기,2018.01.01 ~ 2018.12.31,"-62,442,540,455",28,KRW
22,20210323000883,11011,2020,00138242,003620,OFS,재무제표,IS,손익계산서,당기순이익,제 59 기,2020.01.01 ~ 2020.12.31,"-503,265,237,525",제 58 기,2019.01.01 ~ 2019.12.31,"-341,052,097,314",제 57 기,2018.01.01 ~ 2018.12.31,"-62,442,540,455",30,KRW
